Accuracy,F1,False Negative Scores,True Negative Scores,True Negative Rates,True Positive Scores,Positive Predictive Values,False Positive Scores,False Positive Rates,Negative Predictive Values,True Positive Rates,Matthews Correlation Coefficient,Threshold,Fraction Predicted As Positive,Fraction Predicted As Negative,Lift For Positive Class,Lift For Negative Class
0.7898846495119787,0.6276729559748427,497.0,3453.0,0.8340579710144927,998.0,0.5922848664688427,687.0,0.16594202898550725,0.8741772151898735,0.6675585284280936,0.4837200394074522,0.38483944697673655,0.2990239574090506,0.7009760425909495,2.232458342844099,1.1898523206751055
0.7889973380656611,0.6290171606864274,487.0,3438.0,0.8304347826086956,1008.0,0.5894736842105263,702.0,0.16956521739130434,0.8759235668789809,0.6742474916387959,0.48464187098143247,0.3813473163315434,0.3034605146406389,0.6965394853593612,2.221862348178137,1.1922292993630572
0.7870452528837621,0.6319018404907976,465.0,3405.0,0.822463768115942,1030.0,0.5835694050991501,735.0,0.17753623188405798,0.8798449612403101,0.6889632107023411,0.48682913770436875,0.3692235634283638,0.3132209405501331,0.6867790594498668,2.199607757681412,1.197566752799311
0.7842058562555457,0.6337349397590362,443.0,3367.0,0.8132850241545894,1052.0,0.5764383561643835,773.0,0.18671497584541064,0.8837270341207349,0.7036789297658863,0.48773857712831536,0.3581765294164542,0.323868677905945,0.676131322094055,2.1727291886196,1.2028506853310004
0.7801242236024845,0.63397341211226,422.0,3323.0,0.8026570048309178,1073.0,0.5677248677248677,817.0,0.19734299516908213,0.8873164218958611,0.7177257525083612,0.4866165235542833,0.34631010136553747,0.33540372670807456,0.6645962732919255,2.13988603988604,1.2077362409138108
0.7774622892635314,0.6350407450523865,404.0,3290.0,0.7946859903381642,1091.0,0.5620814013395157,850.0,0.20531400966183574,0.8906334596643205,0.7297658862876254,0.48726497763521387,0.3371356137577172,0.34445430346051464,0.6555456965394854,2.1186145127412517,1.2122510978764363
0.7767524401064774,0.6345148169668797,403.0,3285.0,0.7934782608695652,1092.0,0.5608628659476117,855.0,0.20652173913043478,0.8907266811279827,0.7304347826086957,0.4864089370183735,0.3362428436668194,0.3455190771960958,0.6544809228039041,2.1140215716486903,1.212377982646421
0.7726708074534161,0.6345221112696149,383.0,3242.0,0.7830917874396135,1112.0,0.5532338308457712,898.0,0.21690821256038648,0.8943448275862069,0.7438127090301003,0.4856245542100311,0.3259036655786803,0.3566992014196983,0.6433007985803016,2.0852659778032914,1.2173026819923372
0.7685891748003549,0.6339135317237508,366.0,3202.0,0.7734299516908213,1129.0,0.5462022254475085,938.0,0.22657004830917873,0.8974215246636771,0.7551839464882943,0.48425786505859836,0.31588941932588827,0.3668145519077196,0.6331854480922804,2.0587622343790706,1.2214904085700051
0.763265306122449,0.6310840707964602,354.0,3160.0,0.7632850241545893,1141.0,0.5379537953795379,980.0,0.23671497584541062,0.8992601024473534,0.7632107023411371,0.47978250152584506,0.3057017077424052,0.3763975155279503,0.6236024844720497,2.0276719979690276,1.2239929172200088
0.75829636202307,0.6288828337874659,341.0,3119.0,0.7533816425120773,1154.0,0.5305747126436782,1021.0,0.2466183574879227,0.9014450867052023,0.7719063545150502,0.4763767574893164,0.29376352831422664,0.385980479148181,0.614019520851819,1.9998585322723255,1.2269669235709697
0.757586512866016,0.6296095444685467,334.0,3108.0,0.7507246376811594,1161.0,0.5294117647058824,1032.0,0.2492753623188406,0.9029633933759442,0.7765886287625418,0.4774904783733804,0.2900995830783866,0.3891748003549246,0.6108251996450754,1.9954751131221717,1.2290335076505907
0.7554569653948536,0.6303648068669528,320.0,3082.0,0.7444444444444445,1175.0,0.5261979399910435,1058.0,0.25555555555555554,0.9059376837154615,0.7859531772575251,0.4787522397510297,0.280286430914255,0.39627329192546584,0.6037267080745341,1.983361466120087,1.2330818472793783
0.7533274179236912,0.6328578975171685,297.0,3047.0,0.7359903381642512,1198.0,0.5229157573112178,1093.0,0.2640096618357488,0.9111842105263158,0.8013377926421404,0.4829638954427719,0.2689709801383174,0.4065661047027507,0.5934338952972493,1.9709901621730517,1.2402229532163742
0.7499556344276841,0.6331684457172612,279.0,3010.0,0.7270531400966184,1216.0,0.5183290707587382,1130.0,0.27294685990338163,0.9151717847370021,0.8133779264214047,0.4840220342836041,0.2597578230991028,0.4163265306122449,0.5836734693877551,1.953701882090629,1.2456504847809196
