Feature Name,Feature Value,Partial Dependence,Feature Omitted Data [%],Feature Plot Data is Capped
TotalCharges,Bin 55.679,0.30453557810853726,0,False
TotalCharges,Bin 69.5085,0.30453557810853726,0,False
TotalCharges,Bin 71.598,0.30453557810853726,0,False
TotalCharges,Bin 77.42649999999999,0.30453557810853726,0,False
TotalCharges,Bin 84.6,0.30453557810853726,0,False
TotalCharges,Bin 93.491,0.30453557810853726,0,False
TotalCharges,Bin 108.88,0.2856051826952462,0,False
TotalCharges,Bin 131.05,0.2856051826952462,0,False
TotalCharges,Bin 148.39000000000016,0.2817906575090218,0,False
TotalCharges,Bin 164.565,0.2817906575090218,0,False
TotalCharges,Bin 184.39000000000001,0.2817906575090218,0,False
TotalCharges,Bin 205.347,0.28099463390034973,0,False
TotalCharges,Bin 226.05299999999997,0.28099463390034973,0,False
TotalCharges,Bin 246.13450000000012,0.28099463390034973,0,False
TotalCharges,Bin 267.07000000000005,0.28099463390034973,0,False
TotalCharges,Bin 293.752,0.27595644328961055,0,False
TotalCharges,Bin 316.9,0.27595644328961055,0,False
TotalCharges,Bin 340.4585000000001,0.27595644328961055,0,False
TotalCharges,Bin 369.19399999999996,0.27595644328961055,0,False
TotalCharges,Bin 401.45,0.27595644328961055,0,False
TotalCharges,Bin 426.36800000000005,0.27595644328961055,0,False
TotalCharges,Bin 459.72950000000003,0.27595644328961055,0,False
TotalCharges,Bin 486.15200000000004,0.27595644328961055,0,False
TotalCharges,Bin 520.9459999999999,0.27595644328961055,0,False
TotalCharges,Bin 551.995,0.27595644328961055,0,False
TotalCharges,Bin 587.1,0.27595644328961055,0,False
TotalCharges,Bin 625.014,0.27595644328961055,0,False
TotalCharges,Bin 666.9685000000001,0.27595644328961055,0,False
TotalCharges,Bin 702.027,0.27595644328961055,0,False
TotalCharges,Bin 743.0349999999999,0.27595644328961055,0,False
TotalCharges,Bin 785.838,0.27595644328961055,0,False
TotalCharges,Bin 827.1674999999999,0.27595644328961055,0,False
TotalCharges,Bin 862.279,0.27595644328961055,0,False
TotalCharges,Bin 906.868,0.27595644328961055,0,False
TotalCharges,Bin 944.1700000000001,0.27595644328961055,0,False
TotalCharges,Bin 995.1905,0.27595644328961055,0,False
TotalCharges,Bin 1035.504,0.27595644328961055,0,False
TotalCharges,Bin 1078.7995,0.27595644328961055,0,False
TotalCharges,Bin 1125.456,0.27595644328961055,0,False
TotalCharges,Bin 1172.8775000000005,0.27595644328961055,0,False
TotalCharges,Bin 1217.5100000000002,0.26866830397214836,0,False
TotalCharges,Bin 1261.5925,0.26866830397214836,0,False
TotalCharges,Bin 1304.6439999999996,0.26866830397214836,0,False
TotalCharges,Bin 1354.5330000000001,0.26866830397214836,0,False
TotalCharges,Bin 1397.475,0.26866830397214836,0,False
TotalCharges,Bin 1440.484,0.26866830397214836,0,False
TotalCharges,Bin 1498.218,0.26866830397214836,0,False
TotalCharges,Bin 1554.3870000000002,0.26866830397214836,0,False
TotalCharges,Bin 1622.1640000000002,0.26866830397214836,0,False
TotalCharges,Bin 1688.9275000000002,0.26866830397214836,0,False
TotalCharges,Bin 1752.486,0.26866830397214836,0,False
TotalCharges,Bin 1812.3574999999992,0.26866830397214836,0,False
TotalCharges,Bin 1879.1759999999983,0.26866830397214836,0,False
TotalCharges,Bin 1959.1095,0.26866830397214836,0,False
TotalCharges,Bin 2048.95,0.26866830397214836,0,False
TotalCharges,Bin 2167.8709999999996,0.26866830397214836,0,False
TotalCharges,Bin 2249.2870000000003,0.26866830397214836,0,False
TotalCharges,Bin 2348.1915,0.27429650996556604,0,False
TotalCharges,Bin 2448.4120000000003,0.27429650996556604,0,False
TotalCharges,Bin 2555.1775000000007,0.27429650996556604,0,False
TotalCharges,Bin 2657.941,0.27429650996556604,0,False
TotalCharges,Bin 2790.4315000000006,0.27429650996556604,0,False
TotalCharges,Bin 2911.3160000000003,0.27429650996556604,0,False
TotalCharges,Bin 3023.9669999999996,0.27429650996556604,0,False
TotalCharges,Bin 3141.1299999999997,0.26462068849601816,0,False
TotalCharges,Bin 3255.3974999999964,0.22939796206456298,0,False
TotalCharges,Bin 3400.985999999999,0.22939796206456298,0,False
TotalCharges,Bin 3522.2985,0.22939796206456298,0,False
TotalCharges,Bin 3645.741,0.22939796206456298,0,False
TotalCharges,Bin 3794.7375,0.22939796206456298,0,False
TotalCharges,Bin 3929.5600000000013,0.22939796206456298,0,False
TotalCharges,Bin 4045.2145,0.22939796206456298,0,False
TotalCharges,Bin 4177.051,0.22939796206456298,0,False
TotalCharges,Bin 4317.840000000001,0.22939796206456298,0,False
TotalCharges,Bin 4475.41,0.22939796206456298,0,False
TotalCharges,Bin 4616.0555,0.22939796206456298,0,False
TotalCharges,Bin 4759.115,0.22939796206456298,0,False
TotalCharges,Bin 4890.1759999999995,0.22939796206456298,0,False
TotalCharges,Bin 5018.103999999999,0.22939796206456298,0,False
TotalCharges,Bin 5200.15,0.22939796206456298,0,False
TotalCharges,Bin 5374.4529999999995,0.22939796206456298,0,False
TotalCharges,Bin 5542.437500000001,0.22939796206456298,0,False
TotalCharges,Bin 5682.628,0.22939796206456298,0,False
TotalCharges,Bin 5817.5975,0.22939796206456298,0,False
TotalCharges,Bin 5976.640000000001,0.22939796206456298,0,False
TotalCharges,Bin 6141.965,0.22939796206456298,0,False
TotalCharges,Bin 6333.088,0.22939796206456298,0,False
TotalCharges,Bin 6511.7065,0.22939796206456298,0,False
TotalCharges,Bin 6716.652999999998,0.22838555306720257,0,False
TotalCharges,Bin 6923.589999999999,0.22838555306720257,0,False
TotalCharges,Bin 7147.705999999995,0.22838555306720257,0,False
TotalCharges,Bin 7414.1484999999975,0.22838555306720257,0,False
TotalCharges,Bin 7721.096000000001,0.22838555306720257,0,False
TotalCharges,Bin 8039.882999999998,0.22838555306720257,0,False
TotalCharges,Bin nan,0.4130705359260052,0,False
PaperlessBilling,#=Other Unseen=#,0.25196899314851556,0,False
PaperlessBilling,No,0.25196899314851556,0,False
PaperlessBilling,Yes,0.28217595464244677,0,False
Dependents,#=Other Unseen=#,0.2538601351517826,0,False
Dependents,No,0.2786410136856143,0,False
Dependents,Yes,0.2538601351517826,0,False
Partner,#=Other Unseen=#,0.2800157753260108,0,False
Partner,No,0.2678920881423793,0,False
Partner,Yes,0.2800157753260108,0,False
SeniorCitizen,Bin 0,0.2713915829987369,0,False
SeniorCitizen,Bin 1,0.2787834138447307,0,False
SeniorCitizen,Bin nan,0.2713915829987369,0,False
MultipleLines,#=Other Unseen=#,0.2961893852576541,0,False
MultipleLines,No,0.24907395044763903,0,False
MultipleLines,No phone service,0.2961893852576541,0,False
MultipleLines,Yes,0.2933036295265418,0,False
gender,#=Other Unseen=#,0.27418596412884416,0,False
gender,Female,0.27418596412884416,0,False
gender,Male,0.2712880376877183,0,False
PhoneService,#=Other Unseen=#,0.28827275134154823,0,False
PhoneService,No,0.28827275134154823,0,False
PhoneService,Yes,0.27077383769408636,0,False
